FOLIO_INT,h0302,h0303,h0402,entidad1,desc_ent1,municipio1,desc_mun1,ponde_f,estrato
2022_01001001_01,2,51,55,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"706,78491885843",3
2022_01001001_02,2,14,1,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"937,020931828615",3
2022_01001002_01,1,60, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"760,861696609056",3
2022_01001002_02,2,60, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"706,78491885843",3
2022_01001003_01,2,64,46,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"706,78491885843",3
2022_01001003_02,1,65, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"760,861696609056",3
2022_01001003_03,2,37, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"940,792931656827",3
2022_01001003_04,1,16, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"769,057604486223",3
2022_01001003_05,1,15, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"769,057604486223",3
2022_01001003_06,2,10, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"937,020931828615",3
2022_01001004_01,2,41, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"940,792931656827",3
2022_01001004_02,1,44,17,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"978,865342537466",3
2022_01001004_03,1,0,30,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1070,47406004065",3
2022_01001005_01,1,51,1,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"760,861696609056",3
2022_01001005_02,2,48,1,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"706,78491885843",3
2022_01001006_01,1,45, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"760,861696609056",3
2022_01001006_02,2,44,17,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"940,792931656827",3
2022_01001006_03,1,21, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"978,865342537466",3
2022_01001006_04,2,17, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"937,020931828615",3
2022_01001006_05,2,15,30,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"937,020931828615",3
2022_01001006_06,1,9,28,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1353,78744241823",3
2022_01001007_01,1,33, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"978,865342537466",3
2022_01001007_02,2,28, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"940,792931656827",3
2022_01001007_03,2,7, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"980,022035550407",3
2022_01001007_04,1,1, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1070,47406004065",3
2022_01001008_01,1,58,55,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"912,998859708185",3
2022_01001008_02,2,56,15,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"848,109226489623",3
2022_01001008_03,2,29,53,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1128,90802316935",3
2022_01001008_04,2,86,17,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"848,109226489623",3
2022_01001009_01,2,86, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"848,109226489623",3
2022_01001009_02,2,65,54,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"848,109226489623",3
2022_01001009_03,1,61, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"912,998859708185",3
2022_01001010_01,1,92, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"912,998859708185",3
2022_01001010_02,2,83, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"848,109226489623",3
2022_01001010_03,2,58, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"848,109226489623",3
2022_01001010_04,1,30, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1174,59315605917",3
2022_01001011_01,1,66, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"912,998859708185",3
2022_01001011_02,2,70,52,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"848,109226489623",3
2022_01001011_03,1,18, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"922,833570246875",3
2022_01001011_04,1,16, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"922,833570246875",3
2022_01001012_01,1,72,55,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"912,998859708185",3
2022_01001012_02,2,68,55,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"848,109226489623",3
2022_01001012_03,1,35,45,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1174,59315605917",3
2022_01001013_01,1,35, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1174,59315605917",3
2022_01001013_02,2,53,27,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"848,109226489623",3
2022_01001013_03,1,86,57,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"912,998859708185",3
2022_01001013_04,2,30, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1128,90802316935",3
2022_01001013_05,2,16, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1124,38179776291",3
2022_01001013_06,2,9, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1175,98113419837",3
2022_01001013_07,2,2,28,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1453,32059163552",3
2022_01001014_01,1,26,1,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1174,59315605917",3
2022_01001014_02,2,25,32,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1128,90802316935",3
2022_01001014_03,1,4,1,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1284,51938180097",3
2022_01001015_01,2,65, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"616,681104680752",3
2022_01001016_01,1,72, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"663,863955009101",3
2022_01001016_02,2,62, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"616,681104680752",3
2022_01001016_03,1,43, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"854,075610080496",3
2022_01001016_04,2,37, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"820,856824883928",3
